Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];18056:19504,;"1272
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];19504:20952,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];20952:22400,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];22400:23848,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];23848:25296,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];119824:120229,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];3646:4124,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];4210:5658,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];5658:7106,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];7106:8554,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];8554:10002,;"504
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];4137:4677,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];10002:11450,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];11450:12898,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];12898:14346,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];14346:15794,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];15794:17242,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];17242:18690,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];4767:6215,;"1259
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];6215:7663,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];7663:9111,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];9111:10559,;"572
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];10559:12007,;"703
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];12007:13455,;"570
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];13455:14903,;"606
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];14903:16351,;"46
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];16351:17799,;"570
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];17799:19247,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];1976:2455,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];38551:39999,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];39999:41447,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];41447:42895,;"1448
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];42895:44343,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];44343:45791,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];45791:47239,;"0
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];47239:48687,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];48687:50135,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];50135:51583,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];51583:53031,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];53031:54479,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[P.];54479:55927,;"0
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];55927:57375,;"1288
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];57375:58823,;"0
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];58823:60271,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];60271:61719,;"0
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];61719:63167,;"1448
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];63167:64615,;"0
"
